location,commodity,time_operation,opex_production,amount_produced,production_cost_per_unit,opex_transport,amount_imported,per_unit_import_cost,weighted_cost_per_unit,total_cost,production_to_import_ratio,scenario
AUS,Copper,12,0.0,0.0,,0.0,0.0,,,0.0,,S1
AUS,Copper,13,0.0,0.0,,0.0,0.0,,,0.0,,S1
AUS,Copper,13,0.0,0.0,,0.0,0.0,,,0.0,,S1
AUS,Copper_ore,0,0.0,0.0,,31.143056112188,10.480775,2.97144592,2.97144592,31.143056112188,0.0,S1
AUS,Copper_ore,1,0.0,0.0,,31.143056112188,10.480775,2.97144592,2.97144592,31.143056112188,0.0,S1
AUS,Copper_ore,2,0.0,0.0,,31.143056112188,10.480775,2.97144592,2.97144592,31.143056112188,0.0,S1
AUS,Copper_ore,3,0.0,0.0,,34.6674881179,11.666875,2.9714459200000003,2.9714459200000003,34.6674881179,0.0,S1
AUS,Copper_ore,4,0.0,0.0,,17.318477630849998,12.075875,1911.0002585308189,1911.0002585308189,23077.000246985852,0.0,S1
AUS,Copper_ore,5,0.0,0.0,,17.90464514245,12.484875,1911.000226880722,1911.000226880722,23858.598957577455,0.0,S1
AUS,Copper_ore,6,0.0,0.0,,41.632365575390004,12.893875,3056.20272823805,3056.20272823805,39406.29595256039,0.0,S1
AUS,Copper_ore,7,0.0,0.0,,42.95219839947,13.302874999999998,3056.202670648599,3056.202670648599,40656.282102304474,0.0,S1
AUS,Copper_ore,8,0.0,0.0,,44.272031223549995,13.711875,3056.2026164947215,3056.2026164947215,41906.268252048554,0.0,S1
AUS,Copper_ore,9,0.0,0.0,,45.591864047630004,14.120875,3056.2025654778918,3056.2025654778918,43156.25440179263,0.0,S1
AUS,Copper_ore,10,0.0,0.0,,46.91169687171001,14.529875,3056.202517333199,3056.202517333199,44406.24055153671,0.0,S1
AUS,Copper_ore,11,0.0,0.0,,103.668743711995,32.1181875,3056.2016070849104,3056.2016070849104,98159.65625415447,0.0,S1
AUS,Copper_ore,12,0.0,0.0,,117.510288768589,36.4075125,3056.201518492703,3056.201518492703,111268.69498704208,0.0,S1
AUS,Copper_ore,13,0.0,0.0,,131.39777788345398,40.711075,3056.2014483676608,3056.2014483676608,124421.24637960448,0.0,S1
AUS,HEX,0,81432.0,2.7,30159.999999999996,0.0,0.0,,30159.999999999996,81432.0,,S1
AUS,HEX,1,80190.0,2.7,29699.999999999996,0.0,0.0,,29699.999999999996,80190.0,,S1
AUS,HEX,2,78030.0,2.7,28899.999999999996,0.0,0.0,,28899.999999999996,78030.0,,S1
AUS,HEX,3,77220.0,2.7,28599.999999999996,0.0,0.0,,28599.999999999996,77220.0,,S1
AUS,HEX,4,76140.0,2.7,28199.999999999996,0.0,0.0,,28199.999999999996,76140.0,,S1
AUS,HEX,5,75060.0,2.7,27799.999999999996,0.0,0.0,,27799.999999999996,75060.0,,S1
AUS,HEX,6,73980.0,2.7,27400.0,0.0,0.0,,27400.0,73980.0,,S1
AUS,HEX,7,75600.0,2.8,29142.85714285714,0.0,0.0,,29142.85714285714,81599.99999999999,,S1
AUS,HEX,8,160200.0,6.0,58700.0,0.0,0.0,,58700.0,352200.0,,S1
AUS,HEX,9,157800.0,6.0,26300.0,0.0,0.0,,26300.0,157800.0,,S1
AUS,HEX,10,182000.0,7.0,34571.42857142857,0.0,0.0,,34571.42857142857,242000.0,,S1
AUS,HEX,11,179200.0,7.0,25600.0,0.0,0.0,,25600.0,179200.0,,S1
AUS,HEX,12,202400.0,8.0,32800.0,0.0,0.0,,32800.0,262400.0,,S1
