tech_location,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
ROE-Compressor_manufacturing,168554.0893282215,110132.79007171208,98578.57142857143,96180.71428571429,93722.27238820633,91459.09251519566,89329.04087000915,74516.95119970886,63800.00000000001,62300.00000000001,60800.00000000001,59299.99999999993,57799.99999999993,56399.99999999993,84490.96586338138
ROE-Copper_mining,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.79324,3056.7932399999995
ROE-Copper_refinement,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636,263.7636000000001
ROE-HEX_manufacturing,41790.0000002048,40700.0,38600.0,37600.0,36600.0,35700.0,34799.99999999998,33899.99999999998,32999.99999999997,32099.999999999967,31300.0,30500.0,29700.0,28900.0,34656.4285714432
ROE-HP_assembly,75255.47311435168,59783.7883418039,56899.45944,56699.45944,56399.45944,56199.45944,55999.45944,76292.78541028756,73039.9547965683,83798.17188635195,63093.386565506065,62459.22955494253,62360.32900521739,62224.116974246564,64321.75234637685
ROE-Iron_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROE-Nickel_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROE-Steel_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROW-Aluminium_production,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROW-Bauxite_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROW-Compressor_manufacturing,186357.6847347781,132988.19556423154,96046.98347951888,92182.47879422417,90371.42813029049,61707.419309969795,49579.5794107302,47100.0,46200.0,45300.0,44400.0,81245.57588745464,72213.52533222591,59270.88961341403,78925.98287548842
ROW-Copper_mining,-,-,-,-,-,3052.97388,3052.97388,3052.97388,3052.9738799999996,3052.973880000001,3052.9738800000005,3052.97388,3052.97388,3052.9738800000005,3052.9738800000005
ROW-Copper_refinement,-,-,-,-,-,263.50079999999997,263.5008,263.50079999999997,263.5008,263.50079999999997,263.50079999999997,263.50079999999997,263.50079999999997,263.5008,263.5008
ROW-HEX_manufacturing,70133.59585911494,54825.48075522232,45901.03521632967,37777.17848537442,30345.423835318852,27000.000000000004,27922.02882032115,35424.73009804299,34922.462444884695,34521.26336285316,34124.429025148725,33159.89463173873,31624.728445466255,29393.76983851162,37648.28720130911
ROW-HP_assembly,62747.222671998425,59873.4844176217,59239.72512366842,58587.405679999996,59087.405679999996,59487.405679999996,59987.405679999996,60387.405679999996,60887.405679999996,61287.405679999996,61787.405679999996,62287.405679999996,62787.405679999996,63287.405679999996,60837.278192377744
ROW-Iron_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ROW-Nickel_mining,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
