location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
CHN,0,5426396.6262537865,4411.290048412001,272.99091522490016,169.19250000000005,5426669.617169011,4580.482548412001,1184.7375379806595,5.03079546202218e-05,0.03835442651541511
CHN,1,5691011.820744278,4814.3743344115,223.43556283961024,133.97825553625003,5691235.256307118,4948.35258994775,1150.127270208773,3.9261131390584436e-05,0.02782879897365257
CHN,2,5968419.266052656,5355.1774645205005,172.28756526225274,96.85403381375001,5968591.553617918,5452.0314983342505,1094.7463446316278,2.886653192113946e-05,0.01808605493570179
CHN,3,6341076.80137338,6034.472949895,44887.25001483276,64.78877500000007,6385964.051388213,6099.261724895,1047.0060704762016,0.007078805606819155,0.010736443022936642
CHN,4,6767439.735434156,6675.4498694275,53805.387589947975,36.79999999999999,6821245.123024104,6712.2498694275,1016.2382592598419,0.007950626779611236,0.005512737076872998
CHN,5,7792277.727171842,7598.088303145501,197759.63477975604,50.431518999999994,7990037.361951598,7648.519822145501,1044.6514551504813,0.025378925354542215,0.00663739574849664
CHN,6,8825554.345974665,8495.63753898,356705.43116554694,94.76544574999997,9182259.777140211,8590.402984729999,1068.8974421179398,0.040417340053912905,0.011154600854284758
CHN,7,9997663.856635904,9528.788449859001,552224.3905752678,183.28729407249998,10549888.247211171,9712.0757439315,1086.2650297803918,0.05523534282548732,0.019235110007632932
CHN,8,10737619.55226547,10421.951439392002,624812.7836019365,236.041125,11362432.335867407,10657.992564392001,1066.094976818516,0.05818913405905788,0.022648457572718283
CHN,9,11509460.49344819,11438.897012568,707712.1619692063,291.79699999999997,12217172.655417398,11730.694012568001,1041.4705764491166,0.0614896034763814,0.025509190237432897
CHN,10,12446470.707373245,12458.969630280002,806323.6905620886,490.81824555999947,13252794.397935333,12949.787875840002,1023.3985703086797,0.06478331966703021,0.03939477020371939
CHN,11,13346536.355908839,13118.182383520001,905661.4353145587,1039.4356215800008,14252197.791223397,14157.618005100001,1006.6804872182119,0.067857413426488,0.07923625325455257
CHN,12,14304709.824859237,13779.3597,1023894.3124086013,1576.757649999999,15328604.13726784,15356.11735,998.2083223183912,0.07157742624245625,0.11442894911873147
CHN,13,15271865.597586436,14503.06815,1133590.0849371233,2039.434325,16405455.68252356,16542.502474999998,991.7154739626878,0.07422734817128536,0.140620888208403
CZE,0,253934.54081295038,34.3355,247610.1800957847,934.1305155,501544.72090873506,968.4660155,517.8753956067291,0.9750945235850201,27.205968035997724
CZE,1,249017.54081295038,34.3355,354329.9602294576,977.9911285000001,603347.5010424079,1012.3266285000001,596.0008203443281,1.4229116514150009,28.4833810050822
CZE,2,244489.54081295038,34.3355,508096.3448488081,987.0309115000001,752585.8856617585,1021.3664115000001,736.8422117548345,2.0781925605461105,28.74665904093431
CZE,3,240483.54081295038,34.3355,583665.7371635599,977.4509585000002,824149.2779765102,1011.7864585000002,814.548634302077,2.4270506629704807,28.4676488910894
CZE,4,258342.9121465712,38.7,750311.8372971381,984.6357720000001,1008654.7494437093,1023.3357720000001,985.6537580743432,2.904325228289784,25.44278480620155
CZE,5,254488.9121465712,38.7,957476.7509176407,986.4643940000001,1211965.663064212,1025.1643940000001,1182.2159159618764,3.762351541532734,25.490036020671834
CZE,6,262801.12433721166,41.194,1190437.3962631903,1014.2953251200001,1453238.520600402,1055.48932512,1376.8386718976824,4.529803284767107,24.622404357916203
CZE,7,288917.2304325319,43.141,1374849.8069578742,1099.8751066040002,1663767.0373904062,1143.0161066040002,1455.5936944174848,4.758628638726792,25.49489132389143
CZE,8,290803.33652785217,44.388,1766409.345405363,1202.9470983575004,2057212.6819332151,1247.3350983575003,1649.286294149958,6.0742402975702525,27.10072763714293
CZE,9,292339.4426231724,45.635000000000005,2163199.880319115,1284.31343438,2455539.322942287,1329.94843438,1846.3417524056256,7.399616900506629,28.143167182644895
CZE,10,325627.5487184927,47.882000000000005,2517431.5198048702,1610.0289516079995,2843059.0685233627,1657.9109516079996,1714.84425370729,7.731015172740214,33.624931114155615
CZE,11,557639.1658640365,79.33180738750016,2254279.746760912,1826.4409203400005,2811918.912624948,1905.7727277275008,1475.4744213272286,4.042541996253092,23.022807376852754
CZE,12,717714.5855705346,102.95112499999999,2700402.359033033,1913.0045463200001,3418116.9446035675,2015.9556713200002,1695.5317982589693,3.7625017149211137,18.581676949329115
CZE,13,780826.8521452559,110.946875,3193628.125430503,1973.5501983200002,3974454.977575759,2084.4970733200003,1906.673330678082,4.09005929631682,17.788245034571727
DEU,0,952190.430912084,124.495125,43010.63793609796,264.47078750000003,995201.0688481819,388.96591250000006,2558.5817082317767,0.0451702060216032,2.124346535657521
DEU,1,939179.4309101466,124.495125,43010.63793609796,264.47078750000003,982190.0688462445,388.96591250000006,2525.131476260775,0.04579597521042056,2.124346535657521
DEU,2,921071.4309124935,124.495125,43010.63793609796,264.47078750000003,964082.0688485914,388.96591250000006,2478.577268255072,0.0466963109402795,2.124346535657521
DEU,3,906136.4309124935,124.495125,43010.63793609796,264.47078750000003,949147.0688485914,388.96591250000006,2440.1805874148195,0.04746596259548419,2.124346535657521
DEU,4,891201.4309124935,124.495125,43010.63793609796,264.47078750000003,934212.0688485914,388.96591250000006,2401.783906574567,0.04826141032118826,2.124346535657521
DEU,5,877264.4309124935,124.495125,50574.44680009797,264.8707875,927838.8777125914,389.36591250000004,2382.9483987317235,0.057650173673965736,2.1275595128724922
DEU,6,890753.9646057745,129.483125,58162.6253797738,274.0406175,948916.5899855483,403.5237425,2351.575607686946,0.0652959489273956,2.116419552740946
DEU,7,912164.884778996,133.90723874000005,77592.06891489377,282.69464666400006,989756.9536938898,416.6018854040001,2375.7860642759024,0.08506364387584726,2.111122963358926
DEU,8,1186259.3023458435,159.19866028,37082.247590171195,334.99471186799997,1223341.5499360147,494.193372148,2475.4309120310318,0.031259816059474144,2.104255847874651
DEU,9,1216620.6084771203,165.534625,80408.21813754358,349.70714749999996,1297028.826614664,515.2417725,2517.3207915991784,0.06609144837534267,2.112592138955822
DEU,10,1225388.1421704013,170.522625,131192.3205669443,360.0025795,1356580.4627373456,530.5252045,2557.0518633810652,0.10706184926400311,2.1111719309974264
DEU,11,1248071.6758636823,175.910625,183893.90845860672,373.09817949999996,1431965.584322289,549.0088045,2608.274352952183,0.1473424259318678,2.120953066365377
DEU,12,1280728.0929802835,182.64562500000005,187958.5715141855,389.3442545000001,1468686.664494469,571.9898795000001,2567.6794592560072,0.14675915406587325,2.131692201770505
DEU,13,1301644.5100968848,189.080625,260572.1253444619,404.2651935,1562216.6354413468,593.3458185,2632.893983125537,0.20018685848801132,2.138057209722043
ITA,0,472040.4469387199,51.011849999999995,49004.83877417574,101.44751450000001,521045.2857128956,152.4593645,3417.6010599394544,0.1038149147853373,1.9887048695548195
ITA,1,507241.8079742464,64.35475000000001,83364.82680262972,127.82221200000002,590606.6347768761,192.17696200000003,3073.2436845207076,0.16434928172731042,1.9862125484132873
