location,time_operation,commodity,weighted_cost_per_unit,conversion_factor,levelized_cost_per_kw,scenario
AUT,4,HP,62934.006,1.0,62.934006000000004,
AUT,5,HP,62734.006,1.0,62.734006,
AUT,6,HP,62434.006,1.0,62.434006000000004,
AUT,7,HP,62234.006,1.0,62.234006,
AUT,8,HP,61934.006,1.0,61.934006000000004,
AUT,9,HP,97334.006,1.0,97.33400599999999,
AUT,10,HP,72983.04091937399,1.0,72.98304091937399,
AUT,11,HP,92958.82200000035,1.0,92.95882200000035,
AUT,12,HP,70454.00600000001,1.0,70.454006,
AUT,13,HP,65240.45761290323,1.0,65.24045761290323,
AUT,0,Iron,28.92326128,29.89,0.8645162796592,
AUT,1,Iron,28.92326128,29.89,0.8645162796592,
AUT,2,Iron,28.92326128,29.89,0.8645162796592,
AUT,3,Iron,28.92326128,29.89,0.8645162796592,
AUT,4,Iron,28.92326128,29.89,0.8645162796592,
AUT,5,Iron,28.92326128,29.89,0.8645162796592,
AUT,6,Iron,28.92326128,29.89,0.8645162796592,
AUT,7,Iron,28.92326128,29.89,0.8645162796592,
AUT,8,Iron,28.92326128,29.89,0.8645162796592,
AUT,9,Iron,28.92326128,29.89,0.8645162796592,
AUT,10,Iron,28.92326128,29.89,0.8645162796592,
AUT,11,Iron,28.923261280000002,29.89,0.8645162796592001,
AUT,12,Iron,28.92326128,29.89,0.8645162796592,
AUT,13,Iron,28.92326128,29.89,0.8645162796592,
AUT,0,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,0,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,1,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,1,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,2,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,2,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,3,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,3,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,4,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,4,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,5,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,5,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,6,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,6,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,7,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,7,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,8,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,8,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,9,Nickel,3913.5781800000013,0.605625,2.3701607852625006,
AUT,9,Nickel,3913.5781800000013,0.605625,2.3701607852625006,
AUT,10,Nickel,3913.5781800000013,0.605625,2.3701607852625006,
AUT,10,Nickel,3913.5781800000013,0.605625,2.3701607852625006,
AUT,11,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,11,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,12,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,12,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,13,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,13,Nickel,3913.578180000001,0.605625,2.3701607852625006,
AUT,0,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,1,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,2,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,3,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,4,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,5,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,6,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,7,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,8,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,9,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,10,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,11,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,12,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,13,Refrigerant,1208.881,0.56875,0.68755106875,
AUT,0,Steel,495.59999592,18.68125,9.2584274237805,
AUT,1,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,2,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,3,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,4,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,5,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,6,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,7,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,8,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,9,Steel,495.5999959199999,18.68125,9.258427423780498,
AUT,10,Steel,495.5999959200002,18.68125,9.258427423780503,
AUT,11,Steel,495.59999592,18.68125,9.2584274237805,
AUT,12,Steel,495.59999591999997,18.68125,9.2584274237805,
AUT,13,Steel,495.5999959200001,18.68125,9.258427423780502,
BRA,0,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,1,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,2,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,3,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,4,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,5,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,6,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,7,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,8,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,9,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,10,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,11,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,12,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,13,Aluminium,1667.0279999999998,4.0375,6.730625549999998,
BRA,0,Bauxite,30.660000000000004,16.15,0.495159,
BRA,1,Bauxite,30.660000000000004,16.15,0.495159,
BRA,2,Bauxite,30.660000000000004,16.15,0.495159,
BRA,3,Bauxite,30.660000000000004,16.15,0.495159,
BRA,4,Bauxite,30.660000000000004,16.15,0.495159,
BRA,5,Bauxite,30.660000000000004,16.15,0.495159,
BRA,6,Bauxite,30.660000000000004,16.15,0.495159,
BRA,7,Bauxite,30.660000000000004,16.15,0.495159,
BRA,8,Bauxite,30.660000000000004,16.15,0.495159,
BRA,9,Bauxite,30.660000000000004,16.15,0.495159,
BRA,10,Bauxite,30.660000000000004,16.15,0.495159,
BRA,11,Bauxite,30.660000000000004,16.15,0.495159,
BRA,12,Bauxite,30.660000000000004,16.15,0.495159,
BRA,13,Bauxite,30.660000000000004,16.15,0.495159,
BRA,3,Compressor,4751859.945180656,1.0,4751.859945180657,
BRA,4,Compressor,499573.3333333333,1.0,499.5733333333333,
BRA,5,Compressor,365948.33092577837,1.0,365.94833092577835,
BRA,6,Compressor,114821.7875332541,1.0,114.8217875332541,
BRA,7,Compressor,67530.09976486232,1.0,67.53009976486231,
BRA,8,Compressor,48400.0,1.0,48.4,
BRA,9,Compressor,48200.0,1.0,48.2,
BRA,10,Compressor,48000.0,1.0,48.0,
BRA,11,Compressor,47700.0,1.0,47.7,
BRA,12,Compressor,47500.0,1.0,47.5,
BRA,13,Compressor,47300.0,1.0,47.3,
BRA,5,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,6,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,7,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,8,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,9,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,10,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,11,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,12,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,13,Copper,175.4628,5.51666667,0.9679697805848759,
BRA,3,Copper_ore,1911.2475420399999,5.51666667,10.543715613291491,
BRA,4,Copper_ore,1911.2475420399999,5.51666667,10.543715613291491,
BRA,5,Copper_ore,1537.2074208286283,5.51666667,8.480260943361959,
BRA,6,Copper_ore,2721.815875873074,5.51666667,15.015350924305848,
BRA,7,Copper_ore,2808.3169832784747,5.51666667,15.492548700447308,
