location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
AUT,Nickel,3913.578180000001,3913.578180000001,3913.578180000001,3913.578180000001,3913.578180000001,3913.578180000001,3913.578180000001,3913.578180000001,3913.578180000001,3913.5781800000013,3913.5781800000013,3913.578180000001,3913.578180000001,3913.5781800000013,3913.578180000002
AUT,Refrigerant,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.881,1208.8809999999999,1208.881,1208.881,1208.881,1208.881,1208.8809999999999
AUT,Steel,495.59999592,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.59999591999997,495.5999959200001,495.59999592,495.59999592,495.59999592,495.59999592,495.5999959199999
BRA,Aluminium,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999998,1667.0279999999996
BRA,Bauxite,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000004,30.660000000000014
BRA,Compressor,,,,4751859.945180707,499573.3333333333,365948.33092577837,114821.7875332541,67530.09976486232,48400.0,48200.0,48000.0,47700.0,47500.0,47300.0,553348.4997034486
BRA,Copper,,,,,,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628,175.4628
BRA,Copper_ore,,,,1911.24754204,1911.2475420399999,1537.2074208286283,2721.815875873074,2808.3169832784747,2857.328709154422,2857.328709154422,2857.328709154422,2857.3287091544216,2880.738704019442,2880.738704019443,2552.7843280651596
BRA,HEX,26970.0,26800.0,26400.0,26200.0,26100.0,25900.0,40450.0,25500.0,25400.0,25200.0,25000.0,24800.0,44366.666666666664,24500.0,28113.333333333336
BRA,HP,,,,162849.19876,150878.84596000036,49449.19876,77799.19876,49449.19876,49449.19876,49449.19876,49449.19876,49449.19876,87149.19876,49349.19876,74974.62123272732
BRA,Iron,,,,22.926233999999997,22.926234,22.926234,22.926233999999997,22.926233999999997,22.926233999999997,22.926233999999997,22.926233999999997,22.926233999999997,22.926234,22.926234,22.926233999999997
BRA,Nickel,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431919999999,5750.431920000001
BRA,Refrigerant,,,,16722.841000000015,16722.841000000004,16722.841000000004,16722.841,16722.841,16722.841,16722.841,16722.841,16722.841,16722.841000000004,16722.841000000004,16722.841000000004
