location,commodity,timestep_0,timestep_1,timestep_2,timestep_3,timestep_4,timestep_5,timestep_6,timestep_7,timestep_8,timestep_9,timestep_10,timestep_11,timestep_12,timestep_13,average
CZE,Copper_ore,0.001,0.0010075608105018577,0.0010179126025813639,0.0010518641046066309,0.0010751395296813664,0.0010751395296813664,0.0010751395296813662,0.0010842422374807324,0.0011380406546814745,0.0012204543138112488,0.0013808212825182277,0.0013871092515879567,0.0015834466735948744,0.003142172059484555,0.0013027887557066442
CZE,HP,15190.632050958802,24787.599004637384,26610.611897570627,27151.89690776357,27538.73477799151,28244.202792655386,27835.68792773541,27461.547338443117,26967.538809454403,26545.673824856112,26427.563393324715,29170.578069519477,28417.271873666632,28088.08024311047,26459.8299222634
CZE,Nickel,5.320598347358491,4.845367195750264,4.740955800000001,4.740955800000001,4.740955799999999,4.740955800000001,4.7409558,4.7409558,4.740955800000001,4.740955799999999,4.740955799999999,4.7409558,4.7409558,4.740955800000001,4.78981679593634
CZE,Refrigerant,1410.3609999999999,1486.5787069416112,1617.465548923077,1617.465548923077,1888.3787755076892,6658.498760379546,7731.640760324956,8636.74127046622,9562.229146612435,9881.910634078044,10195.724714335965,10195.724714335965,10357.321055240205,10621.80731771823,6561.560568127644
CZE,Bauxite,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.2674800000000004,3.26748,3.267672556458898,3.267672556458898,3.267672556458898,3.2675212620983354
CZE,HEX,17466.84652,17466.84652,17528.92029006777,17466.84652,17487.562215802107,17466.84652,17466.84652,17466.84652,17295.01735597642,16317.005599954717,15522.764720826988,8019.959043507386,5861.997190684639,6622.8188579930165,14961.223171058076
CZE,Iron,3.30175924,3.30175924,3.30175924,3.30175924,3.30175924,3.30175924,3.3017592399999995,3.301759240037585,3.30175924,3.30175924,3.3017592399999995,3.30175924,3.3017592399999995,3.3017592400000004,3.3017592400026854
CZE,Aluminium,108.8552560768796,141.56900865351315,294.23693911976926,407.70947219007655,523.491101044247,624.4841509494415,719.1487900719485,752.5081799039442,799.7405827748289,822.1010345588168,837.4998990012172,864.3061279907258,868.9757903451751,884.7260981340704,617.8108879153324
CZE,Steel,,,,,,,,,,,,29.737003960000003,29.737003960000006,29.737003960000003,29.73700396
DEU,Copper_ore,0.000999999999999996,0.000999999999999996,0.000999999999999996,0.000999999999999996,0.000999999999999996,0.000999999999999996,0.0009999999999999963,0.001,0.0009999999999999998,0.0009999999999999998,0.0009999999999999998,0.0009999999999999998,0.0009999999999999998,0.0009999999999999998,0.0009999999999999976
