location,time_operation,local_production_opex,local_production_output,transport_opex,transport_output,total_opex,total_output,total_opex_per_unit,transport_to_production_opex_ratio,transport_to_production_output_ratio
CHN,0,5426396.6262537865,4411.290048412,272.9909152249002,169.1925000000001,5426669.617169011,4580.482548412,1184.7375379806597,5.030795462022181e-05,0.03835442651541513
CHN,1,5691354.10400297,4829.7627490035,223.4355628396103,133.9782555362501,5691577.53956581,4963.74100453975,1146.6306429687595,3.925877019011321e-05,0.027740131865461325
CHN,2,5968419.266052656,5355.1774645205005,172.28756526225274,96.85403381375,5968591.553617918,5452.0314983342505,1094.7463446316278,2.886653192113946e-05,0.01808605493570179
CHN,3,6341076.80137338,6034.472949895,44887.25001483276,64.78877500000004,6385964.051388213,6099.261724895,1047.0060704762016,0.007078805606819155,0.010736443022936637
CHN,4,6767439.735434156,6675.449869427501,53805.387589947975,36.79999999999999,6821245.123024104,6712.249869427501,1016.2382592598418,0.007950626779611236,0.005512737076872997
CHN,5,7226718.3001790065,7249.544765955699,45064.00941330977,43.590078599999984,7271782.309592316,7293.1348445557,997.0722418523054,0.0062357501069598255,0.006012802183759404
CHN,6,8029137.487614524,8004.787649685901,139460.47987465266,57.425118199999986,8168597.967489176,8062.212767885901,1013.1955336166566,0.01736929777199353,0.0071738465419820706
CHN,7,8941318.491190095,8872.9432395855,261897.61291102378,98.8176159062499,9203216.104101118,8971.76085549175,1025.7981964006196,0.029290715141069207,0.01113696022142774
CHN,8,9874759.918143494,9893.144825598802,386138.64292785665,166.59867720300014,10260898.561071351,10059.743502801803,1019.9960424650512,0.03910359807516745,0.016839809801623563
CHN,9,11351018.578149328,11227.180329977102,664274.2611935142,279.1587082872501,12015292.839342842,11506.339038264352,1044.2324704135663,0.05852111478984273,0.024864543018150616
CHN,10,12348097.911625938,12183.474821440002,806325.1884403941,486.2052955599995,13154423.100066332,12669.680117000002,1038.260080648438,0.065299546068648,0.03990694795087477
CHN,11,12886848.201236676,12667.592254228,709219.88537996,993.6256215799998,13596068.086616637,13661.217875808,995.2310409083854,0.05503439431465486,0.07843839631389794
