on_off_technologies,on_off_capacity_types,on_off_locations,on_off_time_steps_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_production,power,KOR,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,KOR,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,9,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,10,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,11,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,12,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROE,13,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,0,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,1,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,2,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,3,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,4,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,5,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,6,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,7,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,8,1.0,1.0,1.0,1.0,1.0,1.0
Aluminium_production,power,ROW,9,1.0,1.0,1.0,1.0,1.0,1.0
