location,commodity,time_operation,total_production,total_production_cost,production_cost_per_unit,opex_cost,total_import_flow,total_import_production_cost,total_transport_cost,total_transport_opex,total_import_cost,total_output,domestic_ratio,import_ratio,weighted_cost,weighted_cost_per_unit,transport_to_production_ratio
ITA,Iron,7,0.184,6.71725616064,36.50682696,6.71725616064,86.84120000000001,2369.4750535496164,450.2869720505121,450.2869720505121,2819.7620256001283,87.02520000000001,0.0021143301020853725,0.9978856698979146,2813.814320365588,32.33332782189053,67.0343606499607
ITA,Iron,8,0.184,6.71725616064,36.50682696,6.71725616064,106.77873939200026,2913.4737801736997,553.6666379574962,553.6666379574962,3467.140418131196,106.96273939200026,0.0017202252022143082,0.9982797747977857,3461.187710997648,32.35881701115548,82.4245234537467
ITA,Iron,9,0.184,6.71725616064,36.50682696,6.71725616064,136.3916,3721.465084703088,707.214554579216,707.214554579216,4428.679639282304,136.5756,0.0013472391847445663,0.9986527608152554,4422.722198286297,32.38296004766808,105.28324924143354
ITA,Iron,10,0.184,6.71725616064,36.50682696,6.71725616064,141.89720000000003,3871.6861992756967,735.7620637490721,735.7620637490721,4607.4482630247685,142.08120000000002,0.0012950341072569768,0.998704965892743,4601.490159452565,32.386340764665306,109.5331257515972
ITA,Iron,11,0.184,6.71725616064,36.50682696,6.71725616064,209.06000000000003,5704.2331830408,1084.0130534456002,1084.0130534456002,6788.2462364864,209.24400000000003,0.0008793561583605741,0.9991206438416395,6782.282857214451,32.4132728164939,161.37735818345192
ITA,Iron,12,0.184,6.71725616064,36.50682696,6.71725616064,247.32176,6748.210993399277,1282.4070421942977,1282.4070421942977,8030.618035593575,247.50576,0.0007434170420922729,0.9992565829579078,8024.652931010087,32.42208557493808,190.9123325843381
ITA,Iron,13,0.184,6.71725616064,36.50682696,6.71725616064,290.96408,7938.998183339415,1508.7001856107809,1508.7001856107809,9447.698368950196,291.14808000000005,0.0006319808119634516,0.9993680191880364,9441.731850040802,32.42931174418461,224.60066276034894
ITA,Nickel,0,0.0,0.0,,0.0,3.12,0.0,2.3199679152,2.3199679152,2.3199679152,3.12,0.0,1.0,2.3199679152,0.74357946,
ITA,Nickel,0,0.0,0.0,,0.0,3.12,0.0,2.3199679152,2.3199679152,2.3199679152,3.12,0.0,1.0,2.3199679152,0.74357946,
ITA,Nickel,1,0.0,0.0,,0.0,3.12,0.0,2.3199679152,2.3199679152,2.3199679152,3.12,0.0,1.0,2.3199679152,0.74357946,
ITA,Nickel,1,0.0,0.0,,0.0,3.12,0.0,2.3199679152,2.3199679152,2.3199679152,3.12,0.0,1.0,2.3199679152,0.74357946,
ITA,Nickel,2,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,2,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,3,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,3,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,4,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,4,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,5,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,5,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,6,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,6,0.0,0.0,,0.0,3.12,12210.363921600003,2.3199679152,2.3199679152,12212.683889515203,3.12,0.0,1.0,12212.683889515203,3914.321759460001,
ITA,Nickel,7,0.0,0.0,,0.0,4.8,18785.175264000005,3.569181408,3.569181408,18788.744445408003,4.8,0.0,1.0,18788.744445408003,3914.321759460001,
ITA,Nickel,7,0.0,0.0,,0.0,4.8,18785.175264000005,3.569181408,3.569181408,18788.744445408003,4.8,0.0,1.0,18788.744445408003,3914.321759460001,
ITA,Nickel,8,0.0,0.0,,0.0,6.103675200000016,23887.210080527202,4.538567509231404,4.538567509231404,23891.748648036435,6.103675200000016,0.0,1.0,23891.748648036435,3914.321759460001,
ITA,Nickel,8,0.0,0.0,,0.0,6.103675200000016,23887.210080527202,4.538567509231404,4.538567509231404,23891.748648036435,6.103675200000016,0.0,1.0,23891.748648036435,3914.321759460001,
ITA,Nickel,9,0.0,0.0,,0.0,8.04,31465.168567200002,5.978378858399999,5.978378858399999,31471.1469460584,8.04,0.0,1.0,31471.1469460584,3914.3217594600005,
ITA,Nickel,9,0.0,0.0,,0.0,8.04,31465.168567200002,5.978378858399999,5.978378858399999,31471.1469460584,8.04,0.0,1.0,31471.1469460584,3914.3217594600005,
ITA,Nickel,10,0.0,0.0,,0.0,8.4,32874.05671200001,6.246067464,6.246067464,32880.302779464015,8.4,0.0,1.0,32880.302779464015,3914.3217594600014,
ITA,Nickel,10,0.0,0.0,,0.0,8.4,32874.05671200001,6.246067464,6.246067464,32880.302779464015,8.4,0.0,1.0,32880.302779464015,3914.3217594600014,
ITA,Nickel,11,0.0,0.0,,0.0,8.4,32874.05671200001,6.246067464,6.246067464,32880.302779464015,8.4,0.0,1.0,32880.302779464015,3914.3217594600014,
ITA,Nickel,11,0.0,0.0,,0.0,8.4,32874.05671200001,6.246067464,6.246067464,32880.302779464015,8.4,0.0,1.0,32880.302779464015,3914.3217594600014,
ITA,Nickel,12,0.0,0.0,,0.0,11.785321199999997,46122.77589261141,8.76332277382255,8.76332277382255,46131.53921538524,11.785321199999997,0.0,1.0,46131.53921538524,3914.321759460001,
ITA,Nickel,12,0.0,0.0,,0.0,11.785321199999997,46122.77589261141,8.76332277382255,8.76332277382255,46131.53921538524,11.785321199999997,0.0,1.0,46131.53921538524,3914.321759460001,
ITA,Nickel,13,0.0,0.0,,0.0,30.0,117407.34540000002,22.3073838,22.3073838,117429.65278380002,30.0,0.0,1.0,117429.65278380002,3914.3217594600005,
ITA,Nickel,13,0.0,0.0,,0.0,30.0,117407.34540000002,22.3073838,22.3073838,117429.65278380002,30.0,0.0,1.0,117429.65278380002,3914.3217594600005,
ITA,Refrigerant,0,0.0,0.0,,0.0,1.6664375000000002,0.0,6379.324388937501,6379.324388937501,6379.324388937501,1.6664375000000002,0.0,1.0,6379.324388937501,3828.121,
ITA,Refrigerant,1,0.0,0.0,,0.0,2.275,0.0,8708.975274999999,8708.975274999999,8708.975274999999,2.275,0.0,1.0,8708.975274999999,3828.1209999999996,
ITA,Refrigerant,2,0.0,0.0,,0.0,2.275,0.0,8708.975274999999,8708.975274999999,8708.975274999999,2.275,0.0,1.0,8708.975274999999,3828.1209999999996,
ITA,Refrigerant,3,0.0,0.0,,0.0,2.275,0.0,8708.975274999999,8708.975274999999,8708.975274999999,2.275,0.0,1.0,8708.975274999999,3828.1209999999996,
ITA,Refrigerant,4,0.0,0.0,,0.0,2.275,0.0,8708.975274999999,8708.975274999999,8708.975274999999,2.275,0.0,1.0,8708.975274999999,3828.1209999999996,
ITA,Refrigerant,5,0.0,0.0,,0.0,2.275,0.0,8708.975274999999,8708.975274999999,8708.975274999999,2.275,0.0,1.0,8708.975274999999,3828.1209999999996,
ITA,Refrigerant,6,0.0,0.0,,0.0,2.275,0.0,8708.975274999999,8708.975274999999,8708.975274999999,2.275,0.0,1.0,8708.975274999999,3828.1209999999996,
ITA,Refrigerant,7,0.0,0.0,,0.0,2.275,0.0,8708.975274999999,8708.975274999999,8708.975274999999,2.275,0.0,1.0,8708.975274999999,3828.1209999999996,
ITA,Refrigerant,8,0.0,0.0,,0.0,2.892887725000007,0.0,11074.324250714752,11074.324250714752,11074.324250714752,2.892887725000007,0.0,1.0,11074.324250714752,3828.1209999999996,
ITA,Refrigerant,9,0.0,0.0,,0.0,3.810625,0.0,14587.533585625,14587.533585625,14587.533585625,3.810625,0.0,1.0,14587.533585625,3828.121,
ITA,Refrigerant,10,0.0,0.0,,0.0,3.98125,0.0,15240.706731249998,15240.706731249998,15240.706731249998,3.98125,0.0,1.0,15240.706731249998,3828.1209999999996,
ITA,Refrigerant,11,0.0,0.0,,0.0,3.98125,0.0,15240.706731249998,15240.706731249998,15240.706731249998,3.98125,0.0,1.0,15240.706731249998,3828.1209999999996,
ITA,Refrigerant,12,0.0,0.0,,0.0,4.709249999999999,0.0,18027.578819249997,18027.578819249997,18027.578819249997,4.709249999999999,0.0,1.0,18027.578819249997,3828.121,
