location,exporter,commodity,time_operation,import_flow
JPN,BRA,Copper_ore,4,0.0
JPN,BRA,Copper_ore,5,0.0
JPN,BRA,Copper_ore,6,0.0
JPN,BRA,Copper_ore,7,0.0
JPN,BRA,Copper_ore,8,0.0
JPN,BRA,Copper_ore,9,0.0
JPN,BRA,Copper_ore,10,0.0
JPN,BRA,Copper_ore,11,0.0
JPN,BRA,Copper_ore,12,0.0
JPN,BRA,Copper_ore,13,0.0
KOR,BRA,Copper_ore,0,0.0
KOR,BRA,Copper_ore,1,0.0
KOR,BRA,Copper_ore,2,0.0
KOR,BRA,Copper_ore,3,0.0
KOR,BRA,Copper_ore,4,0.0
KOR,BRA,Copper_ore,5,0.0
KOR,BRA,Copper_ore,6,0.0
KOR,BRA,Copper_ore,7,0.0
KOR,BRA,Copper_ore,8,0.0
KOR,BRA,Copper_ore,9,0.0
KOR,BRA,Copper_ore,10,0.0
KOR,BRA,Copper_ore,11,0.0
KOR,BRA,Copper_ore,12,0.0
KOR,BRA,Copper_ore,13,0.0
ROE,BRA,Copper_ore,0,0.0
ROE,BRA,Copper_ore,1,0.0
ROE,BRA,Copper_ore,2,0.0
ROE,BRA,Copper_ore,3,0.0
ROE,BRA,Copper_ore,4,0.0
ROE,BRA,Copper_ore,5,0.0
ROE,BRA,Copper_ore,6,0.0
ROE,BRA,Copper_ore,7,0.0
ROE,BRA,Copper_ore,8,0.0
ROE,BRA,Copper_ore,9,0.0
ROE,BRA,Copper_ore,10,0.0
ROE,BRA,Copper_ore,11,0.0
ROE,BRA,Copper_ore,12,0.0
ROE,BRA,Copper_ore,13,0.0
ROW,BRA,Copper_ore,0,0.0
ROW,BRA,Copper_ore,1,0.0
ROW,BRA,Copper_ore,2,0.0
ROW,BRA,Copper_ore,3,0.0
ROW,BRA,Copper_ore,4,0.0
ROW,BRA,Copper_ore,5,0.0
ROW,BRA,Copper_ore,6,0.0
ROW,BRA,Copper_ore,7,0.0
ROW,BRA,Copper_ore,8,0.0
ROW,BRA,Copper_ore,9,0.0
ROW,BRA,Copper_ore,10,0.0
ROW,BRA,Copper_ore,11,0.0
ROW,BRA,Copper_ore,12,0.0
ROW,BRA,Copper_ore,13,0.0
