technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Bauxite_transport,CZE-KOR,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-KOR,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-KOR,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-KOR,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-KOR,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-KOR,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-KOR,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-KOR,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-KOR,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROE,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,CZE-USA,10,1.0,1.0,1.0,1.0,1.0,0.0
Bauxite_transport,CZE-USA,11,1.0,1.0,1.0,1.0,1.0,0.0
Bauxite_transport,CZE-USA,12,1.0,1.0,1.0,1.0,1.0,0.0
Bauxite_transport,CZE-USA,13,1.0,1.0,1.0,1.0,1.0,0.0
Bauxite_transport,DEU-AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-AUT,0,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,1,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,2,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,3,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,4,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,5,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,6,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,7,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,8,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,9,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,10,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,11,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,12,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-AUT,13,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CHN,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_transport,DEU-CZE,0,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,1,0.0,0.0,0.0,0.0,0.0,1.0
Bauxite_transport,DEU-CZE,2,0.0,0.0,0.0,0.0,0.0,1.0
