technology,edge,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Nickel_transport,DEU-ROE,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROE,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROE,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROE,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROE,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-ROW,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,DEU-USA,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUS,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,1,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,2,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,3,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,4,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,5,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,6,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,7,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,8,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,9,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,10,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,11,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,12,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-AUT,13,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,0,0.0,0.0,0.0,0.0,0.0
Nickel_transport,ITA-BRA,1,0.0,0.0,0.0,0.0,0.0
