carrier,node,time_operation,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium,ROW,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,ROW,13,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,0,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,1,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,2,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,3,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,4,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,5,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,6,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,7,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,8,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,9,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,10,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium,USA,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
