technology,location,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Copper_ore_transport,ROE-BRA,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CHN,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-CZE,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-DEU,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ITA,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-JPN,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-KOR,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-ROW,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,2,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,3,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,4,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,5,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,6,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,7,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,8,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,9,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,10,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,11,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,12,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROE-USA,13,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUS,0,0.0,1.5965331999999999,0.0,1.5576373,0.0
Copper_ore_transport,ROW-AUS,1,0.0,1.792,0.0,1.6640000000000001,0.0
Copper_ore_transport,ROW-AUS,2,0.0,1.792,0.0,1.6640000000000001,0.0
Copper_ore_transport,ROW-AUS,3,0.0,1.792,1.792,1.6640000000000001,0.0
Copper_ore_transport,ROW-AUS,4,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,5,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,6,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,7,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,8,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,9,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,10,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,11,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,12,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUS,13,1.6640000000000001,1.792,1.792,1.6640000000000001,1.6640000000000001
Copper_ore_transport,ROW-AUT,0,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,1,0.0,0.0,0.0,0.0,0.0
Copper_ore_transport,ROW-AUT,2,0.0,0.0,0.0,0.0,0.0
