technology,node,year,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4
Copper_refinement,ITA,11,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ITA,12,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ITA,13,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,0,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,1,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,2,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,3,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,4,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,5,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,6,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,7,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,8,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,9,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,10,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,11,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,12,0.0,0.0,0.0,0.0,0.0
Copper_refinement,JPN,13,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,0,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,1,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,2,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,3,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,4,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,5,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,6,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,7,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,8,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,9,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,10,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,11,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,12,0.0,0.0,0.0,0.0,0.0
Copper_refinement,KOR,13,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,0,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,1,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,2,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,3,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,4,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,5,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,6,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,7,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,8,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,9,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,10,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,11,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,12,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROE,13,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,0,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,1,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,2,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,3,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,4,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,5,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,6,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,7,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,8,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,9,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,10,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,11,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,12,0.0,0.0,0.0,0.0,0.0
Copper_refinement,ROW,13,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,0,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,1,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,2,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,3,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,4,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,5,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,6,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,7,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,8,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,9,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,10,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,11,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,12,0.0,0.0,0.0,0.0,0.0
Copper_refinement,USA,13,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUS,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUS,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUS,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUS,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUS,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUS,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUS,6,0.0,0.0,0.0,0.5139140000000002,0.0
HEX_manufacturing,AUS,7,0.0,0.0,0.0,1.7860859999999996,0.0
HEX_manufacturing,AUS,8,0.0,0.0,0.0,1.0,0.0
HEX_manufacturing,AUS,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUS,10,0.0,0.0,0.0,0.6,0.0
HEX_manufacturing,AUS,11,0.9950000000000001,0.0,0.0,0.4,0.9950000000000001
HEX_manufacturing,AUS,12,0.0,4.011100999679968,4.0111009996799964,0.6,0.0
HEX_manufacturing,AUS,13,0.0,2.288899000320032,2.2888990003200034,1.4,0.0
HEX_manufacturing,AUT,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,6,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,7,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,12,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,AUT,13,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,6,0.5,0.5,0.5,0.5,0.5
HEX_manufacturing,BRA,7,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,BRA,12,1.0,1.0,1.0,1.0,1.0
HEX_manufacturing,BRA,13,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CHN,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CHN,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CHN,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CHN,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CHN,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CHN,5,4.756779000000009,4.756779000000009,4.7567789999999945,4.756779000000002,4.75677900000003
HEX_manufacturing,CHN,6,13.64322099999999,13.64322099999999,13.643221000000004,13.643220999999997,13.643220999999969
HEX_manufacturing,CHN,7,4.0,4.0,4.0,4.0,4.0
HEX_manufacturing,CHN,8,4.0,4.0,4.0,4.0,4.0
HEX_manufacturing,CHN,9,4.0,4.0,4.0,4.0,4.0
HEX_manufacturing,CHN,10,4.0,4.0,4.0,4.0,4.0
HEX_manufacturing,CHN,11,5.0,5.0,5.0,5.0,5.0
HEX_manufacturing,CHN,12,5.0,5.0,5.0,5.0,5.0
HEX_manufacturing,CHN,13,6.0,6.0,6.0,6.0,6.0
HEX_manufacturing,CZE,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,6,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,7,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,12,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,CZE,13,0.0,0.9024389990399995,2.7,0.0,0.0
HEX_manufacturing,DEU,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,6,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,7,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,12,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,DEU,13,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,6,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,7,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,12,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ITA,13,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,6,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,7,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,12,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,JPN,13,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,6,0.4,0.4,0.4,0.0,0.4
HEX_manufacturing,KOR,7,0.0,0.0,0.0,0.4,0.0
HEX_manufacturing,KOR,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,9,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,10,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,11,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,12,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,KOR,13,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,0,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,1,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,2,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,3,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,4,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,5,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,6,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,7,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,8,0.0,0.0,0.0,0.0,0.0
HEX_manufacturing,ROE,9,0.0,0.0,0.0,0.0,0.0
