technology,node,time_storage_level,value_scenario_,value_scenario_S1,value_scenario_S2,value_scenario_S3,value_scenario_S4,value_scenario_S5
Aluminium_storage,USA,11,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,12,0.0,0.0,0.0,0.0,0.0,0.0
Aluminium_storage,USA,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUS,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,AUT,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,6,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,7,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,8,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,9,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,10,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,11,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,12,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,BRA,13,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,0,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,1,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,2,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,3,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,4,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,5,0.0,0.0,0.0,0.0,0.0,0.0
Bauxite_storage,CHN,6,0.0,0.0,0.0,0.0,0.0,0.0
